Title,Titlecontd,ReleaseYear,Locations,ConvertedLocations,Latitude,Longitude,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,SFFindNeighborhoods,AnalysisNeighborhoods,CurrentSupervisorDistricts
A Taiwanese Tale of Two Cities,,2018,Dolores Park,"Dolores Park, San Francisco CA",37.7591615,-122.427309,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,37,20,5
Looking,,2014,Dolores Park,"Dolores Park, San Francisco CA",37.7591615,-122.427309,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,37,20,5
Murder in the First,Season 1,2014,Dolores Park,"Dolores Park, San Francisco CA",37.7591615,-122.427309,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,37,20,5
Tales of the City,,2019,Dolores Park,"Dolores Park, San Francisco CA",37.7591615,-122.427309,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,37,20,5
Women is Losers,,2020,Dolores Park,"Dolores Park, San Francisco CA",37.7591615,-122.427309,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,37,20,5
Looking,Season 2 ep 204,2015,Dolores Park,"Dolores Park, San Francisco, San Francisco CA",37.7591615,-122.427309,"Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind.","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,37,20,5
GirlBoss,,2017,Dolores Park,"601 Dolores St, San Francisco, CA 94110",37.7591615,-122.427309,"After the devastating earthquake of 1906, the park served as a refugee camp for more than 1600 families who lost their home in the disaster.","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37,20,5
Class Action,,1991,"Mission Dolores (3321 16th Street, Mission District)","Mission Dolores (3321 16th Street, Mission District), San Francisco CA",37.764381,-122.427028,"Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.",Interscope Communications,Twentieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,,37,5,5
Vertigo,,1958,"Mission Dolores (3321 16th Street, Mission District)","Mission Dolores (3321 16th Street, Mission District), San Francisco CA",37.764381,-122.427028,"Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,37,5,5
DEVS,,2020,Dolores Park - Dolores at 20th St,"3809 20th St, San Francisco, CA 94114",37.758011,-122.426126,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,52,20,5
180,,2011,Randall Museum,"Randall Museum, San Francisco CA",37.76137775,-122.4257588,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,113,5,5
Looking,Season 2 ep 204,2015,"Bi-Rite Creamery, 3692 18th Stret","3692 18th St, San Francisco, CA 94110",37.761585,-122.425719,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,37,20,5
Jexi,,2019,3200 16th St at Guerrero,"3200 16th St at Guerrero, San Francisco CA",37.764993,-122.424338,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,37,20,5
Jexi,,2019,Elixir - 3200 16th St,"Elixir - 3200 16th St, San Francisco CA",37.764993,-122.424338,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,37,20,5
Mission (aka City of Bars),,2001,"The 500 Club (500 Guerrero Street, Mission District)","The 500 Club (500 Guerrero Street, Mission District), San Francisco CA",37.763015,-122.42421,,NA,NA,Loren Marsh,Loren Marsh,Chris Coburn,,,37,20,5
Steve Jobs,,2015,21st and Collingwood St.,"3938-3974 21st St, San Francisco, CA 94114",37.7565695,-122.423819,,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,115,5,5
Bitter Melon,,2018,3189 16th St,"3189 16th St, San Francisco CA",37.764647,-122.423804,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,37,20,5
Bitter Melon,,2018,"Pay and Save Grocery, 599 Guerrero St","Pay and Save Grocery, 599 Guerrero St, San Francisco CA",37.761766,-122.423615,The film won Best Narrative Feature at the San Diego Asian Film Festival.,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,37,20,5
Cherish,,2002,387 Fair Oaks at 25th Street,"387 Fair Oaks at 25th Street, San Francisco CA",37.750609,-122.42358,,3 Ring Circus Films,Fine Line Features,Finn Taylor,Finn Taylor,Brad Hunt,Robin Tunney,,52,20,5
Women is Losers,,2020,Immaculate Conception Academy - 3625 24th St,"3625 24th St, San Francisco, CA 94110",37.751653,-122.423442,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,52,20,5
Vegas in Space,,1992,3567 18th Street,"3567 18th Street, San Francisco CA",37.761389,-122.42304,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,37,20,5
Bitter Melon,,2018,33 Dearborn St,"33 Dearborn St, San Francisco CA",37.7627,-122.422777,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,37,20,5
Bitter Melon,,2018,3139 16th St,"3139 16th St, San Francisco CA",37.764659,-122.422688,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,37,20,5
Budding Prospects,Pilot,2017,1125 Guerrero Street,"1125 Guerrero Street, San Francisco CA",37.753191,-122.422678,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,52,20,5
Sense8,Season 2,2016,"The Women's Building, 3543 18th St.","3543 18th St, San Francisco, CA 94110",37.761443,-122.422629,"The mural painted outside the building was painted by 7 women artists including Juana Alicia, Miranda Bergman and Meera Desai. The computer lab scene was filmed inside the building.","Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,37,20,5
When We Rise,,2017,"Women's Building, 3543 18th St.","Women's Building, 3543 18th St., San Francisco CA",37.761443,-122.422629,Roma Guy was one of the founders of the Women's Building,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,37,20,5
So I Married an Axe Murderer,,1993,Cafe Picaro 3120 16th Street,"Cafe Picaro 3120 16th Street, San Francisco CA",37.765126,-122.422463,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,37,20,5
Americana,,2015,Roxie Theater (3117 16th St.),"Roxie Theater (3117 16th St.), San Francisco CA",37.764616,-122.422424,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,37,20,5
Quitters,,2015,24 Hill St.,"24 Hill St., San Francisco CA",37.75628,-122.42223,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,52,20,5
Looking,,2014,Valencia btwn 16th and 17th St,"542 Valencia St, San Francisco, CA 94110",37.764202,-122.422118,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,5
Love & Taxes,,2014,20 Hill Street,"20 Hill Street, San Francisco CA",37.756289,-122.422019,,Bad Company Films,,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,,52,20,5
Love & Taxes,,2014,The Marsh Theatre (1062 Valencia Street),"1062 Valencia St, San Francisco, CA 94110",37.755794,-122.4213,,Bad Company Films,,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,,52,20,5
Looking,Special,2016,17th & Market Street,"17th & Market Street, San Francisco CA",37.77364267,-122.4204355,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,38,5,5
180,,2011,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,,,5
A View to a Kill,,1985,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,,,5
Bedazzled,,2000,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,,,5
Bicentennial Man,,1999,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,,,5
Boys and Girls,,2000,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,,,5
Class Action,,1991,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Interscope Communications,Twentieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,,,,5
Dawn of the Planet of the Apes,,2014,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,,,5
Final Analysis,,1992,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,,,5
Foul Play,,1978,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,,,5
Invasion of the Body Snatchers,,1978,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,,,5
Jagged Edge,,1985,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Columbia Pictures Corp.,Columbia Pictures,Richard Marquand,Joe Eszterhas,Glenn Close,Jeff Bridges,Peter Coyote,,,5
Knife Fight,,2013,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane,Rob Lowe,Julie Bowen,Jamie Chung,,,5
Magnum Force,,1973,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,,,5
Milk,,2008,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,,,5
San Francisco,,1936,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy,,,5
"Smile Again, Jenny Lee",,2015,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,,,5
The Enforcer,,1976,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,,,5
The Right Stuff,,1983,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,,,5
The Rock,,1996,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,,,5
The Wedding Planner,,2001,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,,,5
Tucker: The Man and His Dream,,1988,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Lucasfilm,Paramount Pictures,Francis Ford Coppola,Arnold Schulman,Jeff Bridges,Joan Allen,Marin Landau,,,5
When We Rise,,2017,City Hall,"City Hall, San Francisco CA",37.779241,-122.418967,"Exterior scenes include re-creating the White Night Riots on May 21, 1979 and the Gay Freedom March. Interior scenes included the wedding ceremony for Roma and Diane which had a few Board of Supervisors in the ceremony. The current Clerk for the Board of Supervisors played herself in one of the scenes filmed in the Chambers.",Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,,,5
Sense8,,2015,Grand View Ave.,"Grand View Ave., San Francisco CA",37.731242,-122.41816,Bicycle chase scene,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,51,22,5
Sense8,,2015,"Dolores Park, 20th St. between Church & Dolores St.","Dolores St & 19th St, San Francisco, CA 94114",37.7603015,-122.416261,"group of friends have a heated argument, then flashback of pre-argument","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,52,22,5
DEVS,,2020,20th at Noe St,"20th St & Noe St, San Francisco CA 94114",37.752551,-122.410658,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,52,5,5
Looking,,2014,The Fairmont,"The Fairmont, San Francisco CA",37.7923835,-122.4102305,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,59,10,5
Milk,,2008,29th and Dolores Street,"29th and Dolores Street, San Francisco CA",37.75368,-122.38252,,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,84,22,5
The Dead Pool,,1988,550 El Camino Del Mar (Seacliff),"550 El Camino Del Mar (Seacliff), San Francisco CA",37.787548,-122.489928,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,1,33,6
Always Be My Maybe,,2019,26th Ave and El Camino Del mar,"26th Ave and El Camino Del mar, San Francisco CA",37.7875675,-122.486364,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,1,33,6
Dream for an Insomniac,,1996,Baker Beach,"Baker Beach, San Francisco CA",37.7935165,-122.4837185,"From 1986-1990, the north end of Baker Beach was home to the Burning Man festival.",Triton Productions,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo,Ione Skye,Jennifer Aniston,,3,27,6
Surface,,2022,Baker Beach,"Baker Beach, San Francisco CA",37.7935165,-122.4837185,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,3,27,6
The Princess Diaries,,2001,Baker Beach,"Baker Beach, San Francisco CA",37.7935165,-122.4837185,,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,3,27,6
Dr. Dolittle 2,,2001,"Building 924, Presidio (Golden Gate National Recreation Area)","Building 924, Presidio (Golden Gate National Recreation Area), San Francisco CA",37.7660579,-122.477414,"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,,103,31,6
